paper_id,au_id,aff_id,aff_name
7E274F78,809EA698,0966B229,university of illinois at urbana champaign
7E274F78,80509AFE,0966B229,university of illinois at urbana champaign
7E280B44,7DCB5D0C,4FF45383,ibm
7E280B44,7D6E1211,4FF45383,ibm
7E280B44,80227B2F,4FF45383,ibm
7E280B44,801FEB0A,01776B6C,university of massachusetts amherst
7E286D48,79291EFB,0A2510E5,university of pittsburgh
7E286D48,7DC6DCAF,0A2510E5,university of pittsburgh
7E286D48,7F39A6A7,0A2510E5,university of pittsburgh
7E286D48,7E90787B,0A2510E5,university of pittsburgh
7E286D48,3AEB8615,0A2510E5,university of pittsburgh
7E2AEBC7,7FB3A515,,
7E2AEBC7,23D98A5C,,
7E2AEBC7,85F459D0,,
7E2CF478,7EC31D2B,0A97E0C1,the chinese university of hong kong
7E2CF478,7D43A712,0A97E0C1,the chinese university of hong kong
7E2CF478,80CCF05C,0A97E0C1,the chinese university of hong kong
7E2CF478,84C8AD82,0A97E0C1,the chinese university of hong kong
7E2D829A,489B54F8,003E7116,graz university of technology
7E2D829A,29D97B14,003E7116,graz university of technology
7E2D829A,12D545BB,003E7116,graz university of technology
7E2DBA79,756D31EF,34DF872C,university of amsterdam
7E2F87F7,7D67BFCD,04592826,washington state university
7E2F87F7,8484AF12,04592826,washington state university
7E2F87F7,848FDBE7,04592826,washington state university
7E3038AA,7C33C489,00A825C2,university of a coruna
7E3038AA,7F04944D,00A825C2,university of a coruna
7E3038AA,7DE59A3F,00A825C2,university of a coruna
7E304902,7C66A77B,8623AC36,telefonica
7E304902,7F6997E0,8623AC36,telefonica
7E304902,7A56E2C3,8623AC36,telefonica
7E30EEE2,11476710,0966B229,university of illinois at urbana champaign
7E30EEE2,8020C741,0966B229,university of illinois at urbana champaign
7E30EEE2,82B33CB0,0966B229,university of illinois at urbana champaign
7E320F0A,7E52C3E8,4FF45383,ibm
7E320F0A,7F00BA25,4FF45383,ibm
7E320F0A,77561DC3,05282E0D,university of texas at austin
7E334ADF,852A17FD,,
7E334ADF,807DFD6E,,
7E334ADF,7E6CB754,,
7E334ADF,7D83681B,,
7E347799,7E947C49,06D39D72,tokyo institute of technology
7E347799,7E09542F,06D39D72,tokyo institute of technology
7E347799,8111643E,06D39D72,tokyo institute of technology
7E361D86,8312B9ED,08EF476D,max planck society
7E361D86,1094E134,08EF476D,max planck society
7E361D86,1EAFC7AC,08EF476D,max planck society
7E361D86,7482BF8F,08EF476D,max planck society
7E361D86,7EEC453A,08EF476D,max planck society
7E36DEC5,806B160C,09368EC9,university of california santa barbara
7E36DEC5,859CDD02,09368EC9,university of california santa barbara
7E36DEC5,7E29A2A0,09368EC9,university of california santa barbara
7E36DEC5,7E494194,4FF45383,ibm
7E36DEC5,81419E8B,4FF45383,ibm
7E36DEC5,7E150DF7,4FF45383,ibm
7E3726D0,7DC58C5E,0B78A521,york university
7E3726D0,833756C1,0B78A521,york university
7E37940F,8078D94B,081E3F30,harvard university
7E37940F,7F084423,081E3F30,harvard university
7E37AF00,73BF2A30,,
7E37AF00,6F7A9F36,,
7E37AF00,05DEC696,,
7E386FD0,7BCA32F2,083839C7,north carolina state university
7E386FD0,7EA89821,083839C7,north carolina state university
7E38717C,04A4D20E,0228E4F2,university of bristol
7E38717C,11994ECB,0228E4F2,university of bristol
7E38717C,790BCCC7,0228E4F2,university of bristol
7E38717C,7D5D4F49,01AFAF1B,university of surrey
7E397BF7,7EE5D112,09D7E4FA,university of queensland
7E397BF7,7FAE9055,09D7E4FA,university of queensland
7E397BF7,7E2B63DC,09D7E4FA,university of queensland
7E397BF7,801B11B1,09D7E4FA,university of queensland
7E3AEB90,7FDD4599,4EF77785,hewlett packard
7E3B64FB,7E013C7D,00D956B2,hong kong polytechnic university
7E3BA24F,7D1F1531,03C436D1,university at buffalo
7E3BA24F,7E414F48,03C436D1,university at buffalo
7E3BA24F,85784135,03C436D1,university at buffalo
7E3C8155,7DD0E3D6,0BF77E37,hong kong university of science and technology
7E3C8155,7E52D700,0A97E0C1,the chinese university of hong kong
7E3C8155,80FCDD03,0A97E0C1,the chinese university of hong kong
7E3C8155,7D3F3570,0A97E0C1,the chinese university of hong kong
7E3C8155,7EAA8442,0259891E,university of illinois at chicago
7E4008D5,809F812B,,
7E401E8E,2A687E8E,,
7E401E8E,747D8775,,
7E418A0A,8630DF87,08B17323,vienna university of technology
7E418A0A,802B2B01,08B17323,vienna university of technology
7E42CAE3,847DF1B1,0BB963EC,wuhan university of technology
7E449D5B,7EFD969E,4FF45383,ibm
7E449D5B,7F00BA25,4FF45383,ibm
7E449D5B,82D5C7EF,,
7E44B7E4,82B33CB0,0966B229,university of illinois at urbana champaign
7E44B7E4,7FB08BF7,0966B229,university of illinois at urbana champaign
7E46DE0D,586793DF,,
7E486878,8114CE8D,,
7E486878,7E11A500,,
7E486878,7F020526,,
7E497A20,80EEF9BD,0389C918,instituto politecnico nacional
7E497A20,7E4A5CFE,,
7E497A20,74A7A738,,
7E497A20,78126CF5,,
7E4A8532,7BF67901,0389C918,instituto politecnico nacional
7E4A8532,7F75E503,0389C918,instituto politecnico nacional
7E4A8532,789AEBEC,0389C918,instituto politecnico nacional
7E4A8532,7DC2A328,0389C918,instituto politecnico nacional
7E4BB1DC,7E717172,0A97E0C1,the chinese university of hong kong
7E4BB1DC,84C8AD82,0A97E0C1,the chinese university of hong kong
7E4BB1DC,80ABE0C5,0A97E0C1,the chinese university of hong kong
7E4C0C56,79D6548F,,
7E4C0C56,16DEA169,,
7E4C0C56,81059279,,
7E4C0C56,64F495D6,,
7E4C0C56,15F8DA85,,
7E4C0C56,7EDCB973,,
7E4C0C56,28B411E8,,
7E4C7D69,7E1BA138,0B185497,lehigh university
7E4C7D69,8359D325,0B185497,lehigh university
7E4C7D69,8009229E,0B185497,lehigh university
7E4CCBC9,03670825,05C86094,stanford university
7E4CCBC9,7BA1D81F,,
7E4D6A8D,7D1D9836,07CA5884,georgia institute of technology
7E4D6A8D,807F0E63,07CA5884,georgia institute of technology
7E4DF86A,7F8229A1,05E904C7,ntt docomo
7E4DF86A,750F3B6F,05E904C7,ntt docomo
7E4DF86A,837962A2,05E904C7,ntt docomo
7E4FAEAD,8385CB39,34DF872C,university of amsterdam
7E4FAEAD,17F37D50,34DF872C,university of amsterdam
7E4FAEAD,7A885C0B,34DF872C,university of amsterdam
7E4FAEAD,13407016,34DF872C,university of amsterdam
7E508AF9,79B7AF31,,
7E508AF9,4C242E24,,
7E508AF9,7FD5ED6F,,
7E516A4E,7EB0459C,04F0A8A0,beihang university
